Tiempo (s)	Voltaje (V)
0.718000	2.714046
0.719000	2.708235
0.720000	2.697582
0.721000	2.679828
0.722000	2.657877
0.723000	2.632698
0.724000	2.611070
0.725000	2.592993
0.726000	2.577498
0.727000	2.567814
0.728000	2.556838
0.729000	2.547800
0.730000	2.543280
0.731000	2.539730
0.732000	2.539084
0.733000	2.537470
0.734000	2.537793
0.735000	2.540375
0.736000	2.541989
0.737000	2.542312
0.738000	2.544572
0.739000	2.550705
0.740000	2.560712
0.741000	2.572010
0.742000	2.581694
0.743000	2.584600
0.744000	2.585568
0.745000	2.582663
0.746000	2.570719
0.747000	2.558452
0.748000	2.550382
0.749000	2.549091
0.750000	2.548445
0.751000	2.546508
0.752000	2.543926
0.753000	2.542635
0.754000	2.542312
0.755000	2.546508
0.756000	2.552642
0.757000	2.558452
0.758000	2.556838
0.759000	2.547477
0.760000	2.530045
0.761000	2.508417
0.762000	2.489694
0.763000	2.471940
0.764000	2.458059
0.765000	2.445793
0.766000	2.434817
0.767000	2.424164
0.768000	2.415449
0.769000	2.408347
0.770000	2.402536
0.771000	2.398017
0.772000	2.394789
0.773000	2.392206
0.774000	2.389947
0.775000	2.390270
0.776000	2.390915
0.777000	2.393175
0.778000	2.396080
0.779000	2.401568
0.780000	2.410284
0.781000	2.418031
0.782000	2.428361
0.783000	2.439982
0.784000	2.447084
0.785000	2.454186
0.786000	2.464193
0.787000	2.473231
0.788000	2.480333
0.789000	2.478073
0.790000	2.468066
0.791000	2.448052
0.792000	2.425778
0.793000	2.408992
0.794000	2.401568
0.795000	2.401568
0.796000	2.405764
0.797000	2.412543
0.798000	2.418677
0.799000	2.425778
0.800000	2.430621
0.801000	2.431266
0.802000	2.432557
0.803000	2.440628
0.804000	2.448698
0.805000	2.454508
0.806000	2.451280
0.807000	2.434494
0.808000	2.404473
0.809000	2.368319
0.810000	2.333133
0.811000	2.305694
0.812000	2.284389
0.813000	2.270508
0.814000	2.257596
0.815000	2.250171
0.816000	2.246943
0.817000	2.246620
0.818000	2.249848
0.819000	2.258887
0.820000	2.275673
0.821000	2.296978
0.822000	2.312796
0.823000	2.317315
0.824000	2.316024
0.825000	2.314410
0.826000	2.312796
0.827000	2.314087
0.828000	2.313764
0.829000	2.311182
0.830000	2.308277
0.831000	2.304403
0.832000	2.300206
0.833000	2.296978
0.834000	2.296010
0.835000	2.298592
0.836000	2.307308
0.837000	2.317638
0.838000	2.326999
0.839000	2.331519
0.840000	2.332164
0.841000	2.329582
0.842000	2.325708
0.843000	2.321512
0.844000	2.315055
0.845000	2.306340
0.846000	2.299884
0.847000	2.298269
0.848000	2.300852
0.849000	2.305694
0.850000	2.310859
0.851000	2.316347
0.852000	2.322157
0.853000	2.330873
0.854000	2.338298
0.855000	2.343463
0.856000	2.341526
0.857000	2.332810
0.858000	2.322157
0.859000	2.309568
0.860000	2.297947
0.861000	2.289876
0.862000	2.285357
0.863000	2.281483
0.864000	2.279224
0.865000	2.280515
0.866000	2.281161
0.867000	2.284712
0.868000	2.289876
0.869000	2.293750
0.870000	2.295364
0.871000	2.298269
0.872000	2.306017
0.873000	2.318284
0.874000	2.329905
0.875000	2.338298
0.876000	2.341203
0.877000	2.344754
0.878000	2.348627
0.879000	2.354115
0.880000	2.352178
0.881000	2.340234
0.882000	2.321834
0.883000	2.303757
0.884000	2.288585
0.885000	2.278901
0.886000	2.280192
0.887000	2.287940
0.888000	2.297624
0.889000	2.308599
0.890000	2.326999
0.891000	2.350564
0.892000	2.372838
0.893000	2.390915
0.894000	2.398663
0.895000	2.395112
0.896000	2.385428
0.897000	2.368642
0.898000	2.346368
0.899000	2.324740
0.900000	2.302466
0.901000	2.281483
0.902000	2.263083
0.903000	2.249848
0.904000	2.239841
0.905000	2.234999
0.906000	2.236613
0.907000	2.245006
0.908000	2.253722
0.909000	2.264375
0.910000	2.275996
0.911000	2.285680
0.912000	2.286971
0.913000	2.282452
0.914000	2.277287
0.915000	2.270185
0.916000	2.261469
0.917000	2.252754
0.918000	2.243715
0.919000	2.237259
0.920000	2.234676
0.921000	2.238873
0.922000	2.249203
0.923000	2.263083
0.924000	2.278901
0.925000	2.295364
0.926000	2.312473
0.927000	2.330550
0.928000	2.342817
0.929000	2.348305
0.930000	2.350887
0.931000	2.352501
0.932000	2.345399
0.933000	2.333778
0.934000	2.321834
0.935000	2.315701
0.936000	2.318929
0.937000	2.322157
0.938000	2.324417
0.939000	2.327322
0.940000	2.334747
0.941000	2.346045
0.942000	2.358957
0.943000	2.369287
0.944000	2.370901
0.945000	2.365091
0.946000	2.353147
0.947000	2.338943
0.948000	2.323126
0.949000	2.307308
0.950000	2.294073
0.951000	2.288262
0.952000	2.289554
0.953000	2.293750
0.954000	2.293427
0.955000	2.291813
0.956000	2.287617
0.957000	2.287617
0.958000	2.294719
0.959000	2.309568
0.960000	2.327322
0.961000	2.346045
0.962000	2.363477
0.963000	2.383813
0.964000	2.406410
0.965000	2.413189
0.966000	2.404796
0.967000	2.390270
0.968000	2.374775
0.969000	2.356698
0.970000	2.338620
0.971000	2.325385
0.972000	2.316670
0.973000	2.312473
0.974000	2.312796
0.975000	2.318284
0.976000	2.331519
0.977000	2.350564
0.978000	2.371224
0.979000	2.387687
0.980000	2.401568
0.981000	2.408670
0.982000	2.419322
0.983000	2.432557
0.984000	2.444178
0.985000	2.447084
0.986000	2.434171
0.987000	2.410607
0.988000	2.382845
0.989000	2.353470
0.990000	2.326999
0.991000	2.305371
0.992000	2.289554
0.993000	2.277287
0.994000	2.267926
0.995000	2.269862
0.996000	2.283743
0.997000	2.304726
0.998000	2.332164
0.999000	2.359603
1.000000	2.377357
1.001000	2.383813
1.002000	2.383168
1.003000	2.381877
1.004000	2.381877
1.005000	2.384782
1.006000	2.391561
1.007000	2.392206
1.008000	2.384459
1.009000	2.371547
1.010000	2.355406
1.011000	2.337652
1.012000	2.325708
1.013000	2.324417
1.014000	2.326677
1.015000	2.328613
1.016000	2.330873
1.017000	2.335070
1.018000	2.342494
1.019000	2.344108
1.020000	2.335070
1.021000	2.320543
1.022000	2.307631
1.023000	2.299561
1.024000	2.297947
1.025000	2.296978
1.026000	2.295364
1.027000	2.296010
1.028000	2.301820
1.029000	2.315701
1.030000	2.333456
1.031000	2.345399
1.032000	2.348627
1.033000	2.351533
1.034000	2.359926
1.035000	2.372192
1.036000	2.389301
1.037000	2.405442
1.038000	2.415449
1.039000	2.419322
1.040000	2.414803
1.041000	2.402214
1.042000	2.386073
1.043000	2.361217
1.044000	2.331841
1.045000	2.305371
1.046000	2.284712
1.047000	2.271476
1.048000	2.265666
1.049000	2.267280
1.050000	2.274382
1.051000	2.285357
1.052000	2.304726
1.053000	2.331841
1.054000	2.354438
1.055000	2.369287
1.056000	2.379617
1.057000	2.385750
1.058000	2.392206
1.059000	2.396080
1.060000	2.397371
1.061000	2.392206
1.062000	2.381554
1.063000	2.369287
1.064000	2.359926
1.065000	2.356375
1.066000	2.358957
1.067000	2.366382
1.068000	2.376712
1.069000	2.388010
1.070000	2.398017
1.071000	2.402536
1.072000	2.397371
1.073000	2.387687
1.074000	2.374452
1.075000	2.360571
1.076000	2.348627
1.077000	2.336684
1.078000	2.331519
1.079000	2.332164
1.080000	2.341848
1.081000	2.357666
1.082000	2.374775
1.083000	2.389947
1.084000	2.404150
1.085000	2.409638
1.086000	2.408347
1.087000	2.404473
1.088000	2.398340
1.089000	2.390270
1.090000	2.387687
1.091000	2.391238
1.092000	2.397694
1.093000	2.403505
1.094000	2.405764
1.095000	2.404473
1.096000	2.401245
1.097000	2.393498
1.098000	2.387364
1.099000	2.381231
1.100000	2.372838
1.101000	2.363799
1.102000	2.357020
1.103000	2.349273
1.104000	2.340557
1.105000	2.335070
1.106000	2.336684
1.107000	2.346691
1.108000	2.361863
1.109000	2.376066
1.110000	2.386719
1.111000	2.394466
1.112000	2.402859
1.113000	2.401891
1.114000	2.395112
1.115000	2.392529
1.116000	2.400277
1.117000	2.414803
1.118000	2.431912
1.119000	2.449666
1.120000	2.458382
1.121000	2.453217
1.122000	2.433203
1.123000	2.408670
1.124000	2.387687
1.125000	2.380585
1.126000	2.387042
1.127000	2.391884
1.128000	2.396726
1.129000	2.405764
1.130000	2.422228
1.131000	2.434171
1.132000	2.442887
1.133000	2.440305
1.134000	2.428361
1.135000	2.415449
1.136000	2.405442
1.137000	2.402214
1.138000	2.401891
1.139000	2.402214
1.140000	2.402536
1.141000	2.402536
1.142000	2.405764
1.143000	2.410284
1.144000	2.411575
1.145000	2.411252
1.146000	2.406733
1.147000	2.405764
1.148000	2.416740
1.149000	2.439336
1.150000	2.470649
1.151000	2.503252
